Compound_Name,T_K,Dexp×10-9/m2·s-1,ln(Dexp×10-9/m2·s-1),SMILES_PubChem,ref,can_SMILES,can_SMILES_T_K
nitrobenzene,298.2,1.081,0.077886539,C1=CC=C(C=C1)[N+](=O)[O-],acs.iecr.2c03342,O=[N+]([O-])c1ccccc1,O=[N+]([O-])c1ccccc1@298.2
dinitrofluoromethane,298.16,0.938458906,-0.063516211,C([N+](=O)[O-])([N+](=O)[O-])F,acs.iecr.2c03342,O=[N+]([O-])C(F)[N+](=O)[O-],O=[N+]([O-])C(F)[N+](=O)[O-]@298.16
trinitrofluoromethane,295.66,1.213310356,0.1933524555054136,C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])F,acs.iecr.2c03342,O=[N+]([O-])C(F)([N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])C(F)([N+](=O)[O-])[N+](=O)[O-]@295.66
pyridine,298.1417254,1.704761502,0.5334252197080135,C1=CC=NC=C1,acs.iecr.2c03342,c1ccncc1,c1ccncc1@298.1417254
pyridine,298.16,1.72,0.5423242908253617,C1=CC=NC=C1,acs.iecr.2c03342,c1ccncc1,c1ccncc1@298.16
dimethylsulfoxide,298.16,0.748666667,-0.289461432,CS(=O)C,acs.iecr.2c03342,CS(C)=O,CS(C)=O@298.16
carbon disulfide,298.16,4.39,1.479329227,C(=S)=S,acs.iecr.2c03342,S=C=S,S=C=S@298.16
n-hexanethiol,298.16,1.51,0.412109651,CCCCCCS,acs.iecr.2c03342,CCCCCCS,CCCCCCS@298.16
n-heptanethiol,298.16,1.18,0.1655144384775733,CCCCCCCS,acs.iecr.2c03342,CCCCCCCS,CCCCCCCS@298.16
n-octanethiol,298.16,0.931,-0.071496002,CCCCCCCCS,acs.iecr.2c03342,CCCCCCCCS,CCCCCCCCS@298.16
n-dodecanethiol,298.16,0.392,-0.936493439,CCCCCCCCCCCCS,acs.iecr.2c03342,CCCCCCCCCCCCS,CCCCCCCCCCCCS@298.16
tri-n-butyl phosphate,296.0243857,0.309400643,-1.173118262,CCCCOP(=O)(OCCCC)OCCCC,acs.iecr.2c03342,CCCCOP(=O)(OCCCC)OCCCC,CCCCOP(=O)(OCCCC)OCCCC@296.0243857
tri-n-butyl phosphate,298.0,0.28,-1.272965676,CCCCOP(=O)(OCCCC)OCCCC,acs.iecr.2c03342,CCCCOP(=O)(OCCCC)OCCCC,CCCCOP(=O)(OCCCC)OCCCC@298.0
tri-n-butyl phosphate,298.16,0.229,-1.474033275,CCCCOP(=O)(OCCCC)OCCCC,acs.iecr.2c03342,CCCCOP(=O)(OCCCC)OCCCC,CCCCOP(=O)(OCCCC)OCCCC@298.16
tetramethyl silane,298.16,4.13,1.4182774069729414,C[Si](C)(C)C,acs.iecr.2c03342,C[Si](C)(C)C,C[Si](C)(C)C@298.16
tetramethyl silane,299.3704759,4.134515851,1.4193702360341935,C[Si](C)(C)C,acs.iecr.2c03342,C[Si](C)(C)C,C[Si](C)(C)C@299.3704759
tetrametoxy silane,296.6920303,1.410255687,0.3437710264311215,CO[Si](OC)(OC)OC,acs.iecr.2c03342,CO[Si](OC)(OC)OC,CO[Si](OC)(OC)OC@296.6920303
tetrametoxy silane,298.5059569,1.403509095,0.3389755972945766,CO[Si](OC)(OC)OC,acs.iecr.2c03342,CO[Si](OC)(OC)OC,CO[Si](OC)(OC)OC@298.5059569
eicosamethylnonasiloxane,298.16,0.179142434,-1.71957407,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,acs.iecr.2c03342,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C@298.16
octamethylcyclotetrasiloxane,298.8854251,0.393986317,-0.9314391,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,acs.iecr.2c03342,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1@298.8854251
octamethylcyclotetrasiloxane,299.297915,0.398432147,-0.920218066,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,acs.iecr.2c03342,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1@299.297915
trimethylchlorosilane,295.8721232,2.466788858,0.9029172474899756,C[Si](C)(C)Cl,acs.iecr.2c03342,C[Si](C)(C)Cl,C[Si](C)(C)Cl@295.8721232
"trichloro (3,3,3-trifluoropropyl) silane",298.16,1.088500893,0.084801423,C(C[Si](Cl)(Cl)Cl)C(F)(F)F,acs.iecr.2c03342,FC(F)(F)CC[Si](Cl)(Cl)Cl,FC(F)(F)CC[Si](Cl)(Cl)Cl@298.16
"trichloro (1-chloro-3,3,3-trifluoropropyl) silane",298.16,0.82499214,-0.19238142,C(C([Si](Cl)(Cl)Cl)Cl)C(F)(F)F,acs.iecr.2c03342,FC(F)(F)CC(Cl)[Si](Cl)(Cl)Cl,FC(F)(F)CC(Cl)[Si](Cl)(Cl)Cl@298.16
dichloromethane,298.16,3.648,1.294179072212085,C(Cl)Cl,acs.iecr.2c03342,ClCCl,ClCCl@298.16
chloroform,295.3518308,2.863346865,1.0519911730289695,C(Cl)(Cl)Cl,acs.iecr.2c03342,ClC(Cl)Cl,ClC(Cl)Cl@295.3518308
chloroform,296.3989488,2.760336237,1.0153524971936985,C(Cl)(Cl)Cl,acs.iecr.2c03342,ClC(Cl)Cl,ClC(Cl)Cl@296.3989488
chloroform,298.2586386,2.902827776,1.0656853572116778,C(Cl)(Cl)Cl,acs.iecr.2c03342,ClC(Cl)Cl,ClC(Cl)Cl@298.2586386
chloroform,299.9500513,2.956694811,1.084072026594657,C(Cl)(Cl)Cl,acs.iecr.2c03342,ClC(Cl)Cl,ClC(Cl)Cl@299.9500513
carbon tetrachloride,298.16,1.3166,0.2750526560516392,C(Cl)(Cl)(Cl)Cl,acs.iecr.2c03342,ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl@298.16
carbon tetrachloride,298.2,1.296,0.2592825979300829,C(Cl)(Cl)(Cl)Cl,acs.iecr.2c03342,ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl@298.2
dibromomethane,295.5831433,1.443501698,0.367071896,C(Br)Br,acs.iecr.2c03342,BrCBr,BrCBr@295.5831433
dibromomethane,297.8248152,1.488755239,0.39794036,C(Br)Br,acs.iecr.2c03342,BrCBr,BrCBr@297.8248152
dibromomethane,299.6896072,1.521940142,0.4199859304671977,C(Br)Br,acs.iecr.2c03342,BrCBr,BrCBr@299.6896072
bromoform,296.1000375,0.766346648,-0.266120669,C(Br)(Br)Br,acs.iecr.2c03342,BrC(Br)Br,BrC(Br)Br@296.1000375
bromoform,299.3457624,0.78639469,-0.240296462,C(Br)(Br)Br,acs.iecr.2c03342,BrC(Br)Br,BrC(Br)Br@299.3457624
iodomethane,296.4242401,3.458882371,1.2409455226377697,CI,acs.iecr.2c03342,CI,CI@296.4242401
iodomethane,297.8557138,3.460784142,1.241495194055951,CI,acs.iecr.2c03342,CI,CI@297.8557138
iodomethane,297.8569179,3.395138793,1.2223446418465231,CI,acs.iecr.2c03342,CI,CI@297.8569179
iodomethane,297.9457046,3.605697884,1.2825153397567408,CI,acs.iecr.2c03342,CI,CI@297.9457046
iodomethane,298.16,3.5,1.252762968495368,CI,acs.iecr.2c03342,CI,CI@298.16
iodomethane,299.0937186,3.485474806,1.2486042777310922,CI,acs.iecr.2c03342,CI,CI@299.0937186
diiodomethane,295.0412004,0.516656409,-0.660377212,C(I)I,acs.iecr.2c03342,ICI,ICI@295.0412004
diiodomethane,297.0680445,0.53167338,-0.631725925,C(I)I,acs.iecr.2c03342,ICI,ICI@297.0680445
diiodomethane,299.978573,0.563549041,-0.573500921,C(I)I,acs.iecr.2c03342,ICI,ICI@299.978573
"1,2-dichloroethane",298.16,1.86,0.620576488,C(CCl)Cl,acs.iecr.2c03342,ClCCCl,ClCCCl@298.16
bromoethane,295.66,3.8,1.335001067,CCBr,acs.iecr.2c03342,CCBr,CCBr@295.66
"1,8-dibromooctane",295.16,0.207951212,-1.570451783,C(CCCCBr)CCCBr,acs.iecr.2c03342,BrCCCCCCCCBr,BrCCCCCCCCBr@295.16
tert-butyl iodide,296.1190681,0.937189978,-0.064869266,CC(C)(C)I,acs.iecr.2c03342,CC(C)(C)I,CC(C)(C)I@296.1190681
perfluorodecalin,298.7849483,0.31009261,-1.170884283,C12(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(C(C(C(C2(F)F)(F)F)(F)F)(F)F)F)F,acs.iecr.2c03342,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F@298.7849483
fluorobenzene,298.16,2.395,0.8733832308628786,C1=CC=C(C=C1)F,acs.iecr.2c03342,Fc1ccccc1,Fc1ccccc1@298.16
hexafluorobenzene,298.16,1.495,0.4021262068426498,C1(=C(C(=C(C(=C1F)F)F)F)F)F,acs.iecr.2c03342,Fc1c(F)c(F)c(F)c(F)c1F,Fc1c(F)c(F)c(F)c(F)c1F@298.16
hexafluorobenzene,298.7400785,1.516367451,0.4163176397414047,C1(=C(C(=C(C(=C1F)F)F)F)F)F,acs.iecr.2c03342,Fc1c(F)c(F)c(F)c(F)c1F,Fc1c(F)c(F)c(F)c(F)c1F@298.7400785
chlorobenzene,298.0,1.8,0.5877866649021191,C1=CC=C(C=C1)Cl,acs.iecr.2c03342,Clc1ccccc1,Clc1ccccc1@298.0
chlorobenzene,298.16,1.758,0.5641767992629853,C1=CC=C(C=C1)Cl,acs.iecr.2c03342,Clc1ccccc1,Clc1ccccc1@298.16
chlorobenzene,299.647524,1.789233459,0.5817872930006065,C1=CC=C(C=C1)Cl,acs.iecr.2c03342,Clc1ccccc1,Clc1ccccc1@299.647524
bromobenzene,298.2,1.13,0.1222176327242491,C1=CC=C(C=C1)Br,acs.iecr.2c03342,Brc1ccccc1,Brc1ccccc1@298.2
bromobenzene,299.7091045,1.31495596,0.2738031744379992,C1=CC=C(C=C1)Br,acs.iecr.2c03342,Brc1ccccc1,Brc1ccccc1@299.7091045
iodobenzene,299.0955355,0.975815673,-0.02448157,C1=CC=C(C=C1)I,acs.iecr.2c03342,Ic1ccccc1,Ic1ccccc1@299.0955355
methanol,298.0,2.44,0.8919980393051105,CO,acs.iecr.2c03342,CO,CO@298.0
methanol,298.16,2.342704,0.8513058177847403,CO,acs.iecr.2c03342,CO,CO@298.16
methanol,298.2,2.41,0.8796267475025636,CO,acs.iecr.2c03342,CO,CO@298.2
ethanol,295.86,1.26,0.2311117209633866,CCO,acs.iecr.2c03342,CCO,CCO@295.86
ethanol,296.16,1.09,0.086177696,CCO,acs.iecr.2c03342,CCO,CCO@296.16
ethanol,296.46,1.37,0.3148107398400336,CCO,acs.iecr.2c03342,CCO,CCO@296.46
ethanol,298.0,1.05,0.048790164,CCO,acs.iecr.2c03342,CCO,CCO@298.0
ethanol,298.16,1.069230769,0.066939483,CCO,acs.iecr.2c03342,CCO,CCO@298.16
ethanol,298.2,1.07,0.067658648,CCO,acs.iecr.2c03342,CCO,CCO@298.2
"2,2,2-trifluoroethanol",298.16,0.5995,-0.511659305,C(C(F)(F)F)O,acs.iecr.2c03342,OCC(F)(F)F,OCC(F)(F)F@298.16
1-propanol,297.16,0.512,-0.669430654,CCCO,acs.iecr.2c03342,CCCO,CCCO@297.16
1-propanol,298.16,0.60425,-0.503767259,CCCO,acs.iecr.2c03342,CCCO,CCCO@298.16
2-propanol,298.16,0.649,-0.432322562,CC(C)O,acs.iecr.2c03342,CC(C)O,CC(C)O@298.16
1-butanol,297.16,0.426,-0.853315933,CCCCO,acs.iecr.2c03342,CCCCO,CCCCO@297.16
1-butanol,298.16,0.445,-0.809680997,CCCCO,acs.iecr.2c03342,CCCCO,CCCCO@298.16
tert-butanol,299.4393002,0.309715591,-1.172100851,CC(C)(C)O,acs.iecr.2c03342,CC(C)(C)O,CC(C)(C)O@299.4393002
1-pentanol,298.16,0.291,-1.234432012,CCCCCO,acs.iecr.2c03342,CCCCCO,CCCCCO@298.16
3-methyl-1-butanol (isoamyl alcohol),296.16,0.273,-1.298283484,CC(C)CCO[Si](C)(C)C(C)(C)C,acs.iecr.2c03342,CC(C)CCO[Si](C)(C)C(C)(C)C,CC(C)CCO[Si](C)(C)C(C)(C)C@296.16
1-hexanol,298.16,0.216,-1.532476871,CCCCCCO,acs.iecr.2c03342,CCCCCCO,CCCCCCO@298.16
1-heptanol,298.16,0.172,-1.760260802,CCCCCCCO,acs.iecr.2c03342,CCCCCCCO,CCCCCCCO@298.16
1-octanol,297.16,0.138,-1.980501594,CCCCCCCCO,acs.iecr.2c03342,CCCCCCCCO,CCCCCCCCO@297.16
1-octanol,298.16,0.142,-1.951928221,CCCCCCCCO,acs.iecr.2c03342,CCCCCCCCO,CCCCCCCCO@298.16
ethylene glycol,298.0,0.0832,-2.486507931,C(CO)O,acs.iecr.2c03342,OCCO,OCCO@298.0
ethylene glycol,298.16,0.0961,-2.342365963,C(CO)O,acs.iecr.2c03342,OCCO,OCCO@298.16
"1,3-butanediol",297.36,0.106,-2.244316185,CC(CCO)O,acs.iecr.2c03342,CC(O)CCO,CC(O)CCO@297.36
hexylene glycol,297.36,0.235,-1.448169765,CC(CC(C)(C)O)O,acs.iecr.2c03342,CC(O)CC(C)(C)O,CC(O)CC(C)(C)O@297.36
glycerol,295.0867249,0.001115315,-6.798617994,C(C(CO)O)O,acs.iecr.2c03342,OCC(O)CO,OCC(O)CO@295.0867249
glycerol,296.8574265,0.001886035,-6.27327868,C(C(CO)O)O,acs.iecr.2c03342,OCC(O)CO,OCC(O)CO@296.8574265
glycerol,297.948405,0.00135668,-6.602715055,C(C(CO)O)O,acs.iecr.2c03342,OCC(O)CO,OCC(O)CO@297.948405
glycerol,298.1513194,0.00232274,-6.065007771,C(C(CO)O)O,acs.iecr.2c03342,OCC(O)CO,OCC(O)CO@298.1513194
glycerol,298.16,0.00173,-6.35963387,C(C(CO)O)O,acs.iecr.2c03342,OCC(O)CO,OCC(O)CO@298.16
glycerol,298.4956476,0.002017271,-6.206009914,C(C(CO)O)O,acs.iecr.2c03342,OCC(O)CO,OCC(O)CO@298.4956476
glycerol,299.16,0.002547668,-5.972576791,C(C(CO)O)O,acs.iecr.2c03342,OCC(O)CO,OCC(O)CO@299.16
glycerol,299.8556668,0.001733091,-6.357848475,C(C(CO)O)O,acs.iecr.2c03342,OCC(O)CO,OCC(O)CO@299.8556668
acetic acid,298.16,1.19,0.1739533071234379,CC(=O)O,acs.iecr.2c03342,CC(=O)O,CC(=O)O@298.16
isobutyric acid,299.479,0.826,-0.191160505,CC(C)C(=O)O,acs.iecr.2c03342,CC(C)C(=O)O,CC(C)C(=O)O@299.479
octanoic acid,298.16,0.221,-1.509592577,CCCCCCCC(=O)O,acs.iecr.2c03342,CCCCCCCC(=O)O,CCCCCCCC(=O)O@298.16
nonanoic acid,298.16,0.156,-1.857899272,CCCCCCCCC(=O)O,acs.iecr.2c03342,CCCCCCCCC(=O)O,CCCCCCCCC(=O)O@298.16
oleic acid,298.16,0.038758403,-3.2504077,CCCCCCCCC=CCCCCCCCC(=O)O,acs.iecr.2c03342,CCCCCCCCC=CCCCCCCCC(=O)O,CCCCCCCCC=CCCCCCCCC(=O)O@298.16
asclepic acid,298.16,0.039108044,-3.241427097,CCCCCCC=CCCCCCCCCCC(=O)O,acs.iecr.2c03342,CCCCCCC=CCCCCCCCCCC(=O)O,CCCCCCC=CCCCCCCCCCC(=O)O@298.16
water,295.16,2.248239011,0.810147248,O,acs.iecr.2c03342,O,O@295.16
water,295.2766277,1.916431784,0.6504650108927548,O,acs.iecr.2c03342,O,O@295.2766277
water,295.66,2.209416696,0.792728542,O,acs.iecr.2c03342,O,O@295.66
water,295.974321,1.95774365,0.6717926109741972,O,acs.iecr.2c03342,O,O@295.974321
water,296.16,2.353581162,0.8559380671138779,O,acs.iecr.2c03342,O,O@296.16
water,296.66,2.428758891,0.8873803825372082,O,acs.iecr.2c03342,O,O@296.66
water,296.8348215,2.10361233,0.743656024,O,acs.iecr.2c03342,O,O@296.8348215
water,297.06,2.29,0.8285518175661483,O,acs.iecr.2c03342,O,O@297.06
water,297.26,2.398487253,0.8748382272128961,O,acs.iecr.2c03342,O,O@297.26
water,297.3,2.16,0.7701082216960737,O,acs.iecr.2c03342,O,O@297.3
water,297.550068,2.036413423,0.7111901347523237,O,acs.iecr.2c03342,O,O@297.550068
water,297.66,2.398582177,0.8748778033044831,O,acs.iecr.2c03342,O,O@297.66
water,297.6660256,1.988099813,0.6871793146129043,O,acs.iecr.2c03342,O,O@297.6660256
water,298.0,2.64,0.9707789171582248,O,acs.iecr.2c03342,O,O@298.0
water,298.15,2.268,0.8188983858655056,O,acs.iecr.2c03342,O,O@298.15
water,298.16,2.356450814,0.8571565948950693,O,acs.iecr.2c03342,O,O@298.16
water,298.2,2.208333333,0.7922380832041747,O,acs.iecr.2c03342,O,O@298.2
water,298.66,2.3,0.8329091229351039,O,acs.iecr.2c03342,O,O@298.66
water,298.76,2.468921328,0.9037813458344948,O,acs.iecr.2c03342,O,O@298.76
water,299.2,2.55818032,0.9392961930613114,O,acs.iecr.2c03342,O,O@299.2
water,299.36,2.477958152,0.9074348954391512,O,acs.iecr.2c03342,O,O@299.36
water,299.66,2.37,0.8628899551470398,O,acs.iecr.2c03342,O,O@299.66
water,299.7373271,2.341648053,0.8508549777634078,O,acs.iecr.2c03342,O,O@299.7373271
water,299.86,2.47806257,0.9074770329112776,O,acs.iecr.2c03342,O,O@299.86
