Compound_Name,SMILES_PubChem,logKp(cm/h),logKp(cm/s),Ref,T_K,Anatomical_location,Diffusion_cell,Receptor_medium,can_SMILES
Bromoform,C(Br)(Br)Br,-0.67,-4.23,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,BrC(Br)Br
Gamma-Hbcdd,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,-0.08,-3.64,21,305.15,Abdominal/Back/Breast Human Skin,Stirred,aqueous solution / phosphate buffer,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br
Tbp-Dbpe,C1=C(C(=C(C(=C1Br)OC2=C(C=C(C(=C2Br)CC(CBr)Br)Br)Br)Br)CC(CBr)Br)Br,0.05,-3.51,21,305.15,Abdominal/Back/Breast Human Skin,Stirred,aqueous solution / phosphate buffer,BrCC(Br)Cc1c(Br)cc(Br)c(Oc2c(Br)cc(Br)c(CC(Br)CBr)c2Br)c1Br
Benzyl Bromide,C1=CC=C(C=C1)CBr,-1.89,-5.45,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,BrCc1ccccc1
Β-Hexabromocyclododecane,C1C[C@H]([C@H](CC[C@H]([C@H](CC[C@H]([C@@H]1Br)Br)Br)Br)Br)Br,-3.83,-7.39,55,305.15,"Surgery, Breast",Static Franz Cell,DMEM based culture medium and 5% BSA,Br[C@@H]1CC[C@@H](Br)[C@@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br
Γ-Hexabromocyclododecane,C1C[C@H]([C@H](CC[C@@H]([C@@H](CC[C@H]([C@@H]1Br)Br)Br)Br)Br)Br,-3.86,-7.42,55,305.15,"Surgery, Breast",Static Franz Cell,DMEM based culture medium and 5% BSA,Br[C@@H]1CC[C@@H](Br)[C@@H](Br)CC[C@H](Br)[C@H](Br)CC[C@H]1Br
Α-Hexabromocyclododecane,C1C[C@H]([C@H](CC[C@H]([C@@H](CC[C@@H]([C@@H]1Br)Br)Br)Br)Br)Br,-3.67,-7.22,55,305.15,"Surgery, Breast",Static Franz Cell,DMEM based culture medium and 5% BSA,Br[C@@H]1CC[C@H](Br)[C@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br
Dbdpe,C(CC1=C(C(=C(C(=C1Br)Br)Br)Br)Br)C2=C(C(=C(C(=C2Br)Br)Br)Br)Br,-0.1,-3.66,21,305.15,Abdominal/Back/Breast Human Skin,Stirred,aqueous solution / phosphate buffer,Brc1c(Br)c(Br)c(CCc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br
Btbpe,C1=C(C=C(C(=C1Br)OCCOC2=C(C=C(C=C2Br)Br)Br)Br)Br,-0.06,-3.62,21,305.15,Abdominal/Back/Breast Human Skin,Stirred,aqueous solution / phosphate buffer,Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1
"1,6-Hexanediol Diglycidyl Ether",C1C(O1)COCCCCCCOCC2CO2,-3.87,-7.43,38,305.15,Breast,"Flow-
Through",Hanks’ balanced salt solution (HBSS) + 25 mM HEPES (pH 7.4) + 2.5% BSA + Gentamicin 50 µg/mL,C(CCCOCC1CO1)CCOCC1CO1
"1,2-Dichloropropene",C/C(=C/Cl)/Cl,-2.0,-5.56,3,305.15,Abdominal Human Skin,Static/Stirred,Phosphate-buffered saline,C/C(Cl)=C/Cl
Isoeugenol,C/C=C/C1=CC(=C(C=C1)O)OC,-1.71,-5.27,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,C/C=C/c1ccc(O)c(OC)c1
Tetrahydrofuran,C1CCOC1,-1.95,-5.51,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,C1CCOC1
Morpholine,C1COCCN1,-3.86,-7.42,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,C1COCCN1
Dioxane,C1COCCO1,-3.45,-7.01,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,C1COCCO1
Methyl Acrylic Acid,CC(=C)C(=O)O,-2.58,-6.14,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,C=C(C)C(=O)O
Acrylonitrile,C=CC#N,-2.87,-6.43,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,C=CC#N
Acrylic Acid,C=CC(=O)O,-3.05,-6.61,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,C=CC(=O)O
Methyl Acrylate,C=CC(=O)OC,-2.68,-6.24,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,C=CC(=O)OC
Ethyl Acrylate,C=CC(=O)OCC,-2.39,-5.95,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,C=CC(=O)OCC
2-Ethylhexyl Acrylate,CCCCC(CC)COC(=O)C=C,-1.82,-5.38,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,C=CC(=O)OCC(CC)CCCC
Butyl Acrylate,CCCCOC(=O)C=C,-2.0,-5.56,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,C=CC(=O)OCCCC
Acrolein,C=CC=O,-3.07,-6.63,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,C=CC=O
Allyl Alcohol,C=CCO,-2.95,-6.51,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,C=CCO
Oxprenolol,CC(C)NCC(COC1=CC=CC=C1OCC=C)O,-2.81,-6.37,5,305.15,Abdominal Human Skin,Static,isotonic phosphate buffer,C=CCOc1ccccc1OCC(O)CNC(C)C
Eugenol,COC1=C(C=CC(=C1)CC=C)O,-1.63,-5.18,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,C=CCc1ccc(O)c(OC)c1
Alprenolol,CC(C)NCC(COC1=CC=CC=C1CC=C)O,-1.74,-5.3,14,305.15,Human Abdominal Skin,Static,PBS/Saline,C=CCc1ccccc1OCC(O)CNC(C)C
Vinyl Acetate,CC(=O)OC=C,-2.73,-6.29,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,C=COC(C)=O
Styrene,C=CC1=CC=CC=C1,-0.19,-3.75,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,C=Cc1ccccc1
Formaldehyde,C=O,-2.65,-6.21,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,C=O
Acetonitrile,CC#N,-3.21,-6.77,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CC#N
Benzylidene Acetone,CC(=O)/C=C/C1=CC=CC=C1,-1.12,-4.68,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,CC(=O)/C=C/c1ccccc1
"1,1,1-Trichloropropanone",CC(=O)C(Cl)(Cl)Cl,-1.62,-5.18,28,305.15,Human Abdominal Skin,Static,PBS/Isotonic saline/Physiological saline,CC(=O)C(Cl)(Cl)Cl
"1,1-Dichloropropanone",CC(=O)C(Cl)Cl,-1.36,-4.92,28,305.15,Human Abdominal Skin,Static,PBS/Isotonic saline/Physiological saline,CC(=O)C(Cl)Cl
Diacetone Alcohol,CC(=O)CC(C)(C)O,-3.24,-6.8,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,CC(=O)CC(C)(C)O
Dimethyl Acetamide,CC(=O)N(C)C,-5.8,-9.36,50,305.15,Human Abdominal Skin,Static,PBS,CC(=O)N(C)C
2-(Acetylamino)Fluorene,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,-1.17,-4.73,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2
"N4-Acetyl-4-Amino-1-[(2R,3S,4R,5R)-3,4-Dihydroxy-5 (Hydroxymethyl)Oxolan-2-Yl] Pyrimidin-2-One",CC(=O)NC1=NC(=O)N(C=C1)C2C(C(C(O2)CO)O)O,-3.33,-6.89,89,305.15,"Abdominoplasty, Abdomen",Franz Cell,PBS,CC(=O)Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
Acetic Acid,CC(=O)O,-3.21,-6.77,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CC(=O)O
Fluocinonide,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3C[C@@H](C5=CC(=O)C=C[C@@]54C)F)F)O)C)OC(O2)(C)C,-2.77,-6.33,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
T-2 Toxin,CC1=C[C@@H]2[C@](C[C@@H]1OC(=O)CC(C)C)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)COC(=O)C,-4.22,-7.77,100,305.15,"Surgery, Abdomen",Static Franz Cell,PBS with BSA,CC(=O)OC[C@]12C[C@H](OC(=O)CC(C)C)C(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2
Acetylsalicylic Acid,CC(=O)OC1=CC=CC=C1C(=O)O,-2.14,-5.7,47,305.15,Human Abdominal Skin,Static/Stirred,PBS/Saline,CC(=O)Oc1ccccc1C(=O)O
Hydroxyprogesterone,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)O,-3.22,-6.78,2,303.15,Human Skin,Static/Stirred/Flow,saline solution/phosphate buffer/isotonic aqueous solution,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
17-A-Hydroxyprogesterone,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,-3.22,-6.78,20,299.15,Human Epidermal Membrane,Horizontal Glass Diffusion Chamber,Aqueous penicillin–streptomycin solution,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
Pregnenolone,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,-2.82,-6.38,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
Progesterone,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,-4.18,-7.74,57,305.15,"Surgery, Abdomen",Static Franz Cell,Propylene glycol/PBS 2:3 v/v,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
"2,4-Dichloroacetophenone",CC(=O)C1=C(C=C(C=C1)Cl)Cl,1.3,-2.26,15,305.15,Abdominal Human Skin,Flow,Polychlorotrifluoroethylene,CC(=O)c1ccc(Cl)cc1Cl
Acetophenone,CC(=O)C1=CC=CC=C1,-1.58,-5.13,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,CC(=O)c1ccccc1
Flurbiprofen,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,-1.16,-4.72,14,305.15,Human Abdominal Skin,Static,PBS/Saline,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
Pranoprofen,CC(C1=CC2=C(C=C1)OC3=C(C2)C=CC=N3)C(=O)O,-3.42,-6.97,59,305.15,"Surgery, Abdomen",Static Franz Cell,PBS,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2
Ketoprofen,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,-3.62,-7.18,70,305.15,"Surgery, Abdomen",Static Franz Cell,PBS containing 10% ethanol,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
Phenylpropionic Acid,CC(C1=CC=CC=C1)C(=O)O,-1.37,-4.93,14,305.15,Human Abdominal Skin,Static,PBS/Saline,CC(C(=O)O)c1ccccc1
Timolol,CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O,-4.25,-7.81,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
Paclobutrazol,CC(C)(C)[C@@H]([C@H](CC1=CC=C(C=C1)Cl)N2C=NC=N2)O,1.15,-2.41,18,305.15,Breast Human Skin,Static,aqueous solution,CC(C)(C)[C@H](O)[C@H](Cc1ccc(Cl)cc1)n1cncn1
O-T-Butylphenol,CC(C)(C)C1=CC=CC=C1O,-1.13,-4.69,54,305.15,"Abdominoplasty, Abdomen",Franz Cell,PBS with ethanol,CC(C)(C)c1ccccc1O
Tetrabromobisphenol A,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br,-2.59,-6.15,55,305.15,"Surgery, Breast",Static Franz Cell,DMEM based culture medium and 5% BSA,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1
Bisphenol A,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,-4.33,-7.89,93,305.65,"Surgery, Abdomen",Static Franz Cell,"RPMI 1640 with gentamycine, penicillin, streptomycin and 2% BSA",CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
Bisphenol A Diglycidyl Ether,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,-6.32,-9.88,31,273.15,"Mammaplasty, Breast",Flow Through Cell,Hanks balanced salt solution,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1
Geraniol,CC(C)=CCC/C(C)=C/CO,-1.4,-4.96,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,CC(C)=CCC/C(C)=C/CO
Acetone,CC(=O)C,-3.29,-6.85,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CC(C)=O
4-Methyl-2-Pentanol,CC(C)CC(C)O,-2.33,-5.89,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CC(C)CC(C)O
4-Methylvaleric Acid,CC(C)CCC(=O)O,-2.8,-6.36,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,CC(C)CCC(=O)O
Isoamyl Alcohol,CC(C)CCO,-2.0,-5.56,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CC(C)CCO
Isobutanol,CC(C)CO,-2.65,-6.21,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CC(C)CO
Bepridil,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,-3.23,-6.79,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1
Tibp,CC(C)COP(=O)(OCC(C)C)OCC(C)C,0.56,-3.0,21,305.15,Abdominal/Back/Breast Human Skin,Stirred,aqueous solution / phosphate buffer,CC(C)COP(=O)(OCC(C)C)OCC(C)C
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-2.69,-6.24,92,305.15,Surgery,Static Franz Cell,PBS,CC(C)Cc1ccc(C(C)C(=O)O)cc1
Isopropylamine,CC(C)N,-2.9,-6.46,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CC(C)N
Atenolol,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,-3.79,-7.35,14,305.15,Human Abdominal Skin,Static,PBS/Saline,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
Betaxolol,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,-3.46,-7.02,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
Bisoprolol Fumarate,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O.CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O.C(=C/C(=O)O)\C(=O)O,-3.57,-7.13,77,305.15,"Abdominoplasty, Abdomen",Franz Cell,Sorensen buffer,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.O=C(O)/C=C/C(=O)O
Propranolol,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,-2.49,-6.05,14,305.15,Human Abdominal Skin,Static,PBS/Saline,CC(C)NCC(O)COc1cccc2ccccc12
Propranolol-Hcl,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O.Cl,-4.32,-7.88,62,310.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.005% sodium azide,CC(C)NCC(O)COc1cccc2ccccc12.Cl
Isoprenaline,CC(C)NCC(C1=CC(=C(C=C1)O)O)O,-4.54,-8.1,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,CC(C)NCC(O)c1ccc(O)c(O)c1
Isopropyl Alcohol,CC(C)O,-3.05,-6.61,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CC(C)O
2-Isopropoxyethanol,CC(C)OCCO,-3.35,-6.91,109,305.15,Human Abdominal Skin,Static,PBS,CC(C)OCCO
Cumene,CC(C)C1=CC=CC=C1,-0.85,-4.41,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CC(C)c1ccccc1
"Alpha-Methyl-1,3-Benzodioxole-5-Propionaldehyde",CC(CC1=CC2=C(C=C1)OCO2)C=O,0.82,-2.74,15,305.15,Abdominal Human Skin,Flow,polychlorotrifluoroethylene,CC(C=O)Cc1ccc2c(c1)OCO2
Tcipp,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,0.84,-2.72,21,305.15,Abdominal/Back/Breast Human Skin,Stirred,aqueous solution / phosphate buffer,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl
2-Hydroxypropyl Nicotinate,CC(CO)OC(=O)c1cccnc1,-3.99,-7.55,14,305.15,Human Abdominal Skin,Static,PBS/Saline,CC(CO)OC(=O)c1cccnc1
2-Phenyl Propanol,CC(CO)C1=CC=CC=C1,-1.28,-4.84,105,305.15,Human Abdominal Skin,Static,PBS,CC(CO)c1ccccc1
"1,1,1-Trichloroethane",CC(Cl)(Cl)Cl,-2.35,-5.91,2,303.15,Human Skin,Static/Stirred/Flow,Saline solution/Phosphate buffer/Isotonic aqueous solution,CC(Cl)(Cl)Cl
Propylene Dichloride,CC(CCl)Cl,-2.0,-5.56,50,305.15,Human Abdominal Skin,Static,PBS,CC(Cl)CCl
Amphetamine,CC(CC1=CC=CC=C1)N,-4.85,-8.41,69,295.15,"Cadaver, Thigh",Glass Diffusion Cell,Ringer solution,CC(N)Cc1ccccc1
"2,3-Butanediol",CC(C(C)O)O,-4.4,-7.96,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,Phosphate-buffered saline/Physiological saline,CC(O)C(C)O
Triamcinolone Acetonide,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)CCC5=CC(=O)C=C[C@@]53C)F)O,-4.69,-8.25,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
Citrinin,C[C@@H]1[C@H](OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C,-3.33,-6.89,100,305.15,"Surgery, Abdomen",Static Franz Cell,PBS with BSA,CC1=C2C(=CO[C@H](C)[C@H]2C)C(=O)C(C(=O)O)=C1O
Thymoquinone,CC1=CC(=O)C(=CC1=O)C(C)C,-3.05,-6.6,88,310.15,Cadaver,Static Franz Cell,PBS,CC1=CC(=O)C(C(C)C)=CC1=O
Propylene Oxide,CC1CO1,-3.05,-6.61,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CC1CO1
Acetaldehyde,CC=O,-3.15,-6.71,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CC=O
Ketobemidone,CCC(=O)C1(CCN(CC1)C)C2=CC(=CC=C2)O,-4.05,-7.61,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1
Sufentanil,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,-2.26,-5.82,2,303.15,Human Skin,Static/Stirred/Flow,saline solution/phosphate buffer/isotonic aqueous solution,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1
Fentanyl,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,-3.89,-7.45,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
Propionic Acid,CCC(=O)O,-2.94,-6.5,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CCC(=O)O
Hydrocortisone 21-Propionate,CCC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O,-2.48,-6.04,99,310.15,Abdominoplasty Or Cadaver,Flow Through Cell,Succinate solution,CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
2-Butanone,CCC(=O)C,-2.95,-6.51,3,305.15,Abdominal Human Skin,Static/Stirred,Phosphate-buffered saline,CCC(C)=O
2-Phenyl Butanol,CCC(CO)C1=CC=CC=C1,-1.19,-4.75,105,305.15,Human Abdominal Skin,Static,PBS,CCC(CO)c1ccccc1
Cyclobarbitone,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,-3.09,-6.65,14,305.15,Human Abdominal Skin,Static,PBS/Saline,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
Barbital,CCC1(C(=O)NC(=O)NC1=O)CC,-3.95,-7.51,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,CCC1(CC)C(=O)NC(=O)NC1=O
Amobarbital,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,-2.64,-6.2,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
Phenobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,-3.35,-6.91,2,303.15,Human Skin,Static/Stirred/Flow,saline solution/phosphate buffer/isotonic aqueous solution,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
Butyric Acid,CCCC(=O)O,-3.0,-6.56,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,CCCC(=O)O
2-Pentanone,CCCC(=O)C,-2.6,-6.16,3,305.15,Human Abdominal Skin,Static/Stirred,phosphate-buffered saline,CCCC(C)=O
2-Phenyl Pentanol,CCCC(CO)C1=CC=CC=C1,-0.97,-4.53,105,305.15,Human Abdominal Skin,Static,PBS,CCCC(CO)c1ccccc1
Pentanoic Acid,CCCCC(=O)O,-2.7,-6.26,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,CCCCC(=O)O
Betamethasone-17-Valerate,CCCCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CO,-1.92,-5.48,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
2-Hexanone,CCCCC(=O)C,-2.35,-5.91,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CCCCC(C)=O
2-Ethylhexanol,CCCCC(CC)CO,-4.34,-7.9,52,303.15,Cadaver,Franz Cell,Dulbecco PBS,CCCCC(CC)CO
Beh-Tebp,CCCCC(CC)COC(=O)C1=C(C(=C(C(=C1Br)Br)Br)Br)C(=O)OCC(CC)CCCC,-0.29,-3.85,21,305.15,Abdominal/Back/Breast Human Skin,Stirred,aqueous solution / phosphate buffer,CCCCC(CC)COC(=O)c1c(Br)c(Br)c(Br)c(Br)c1C(=O)OCC(CC)CCCC
Eh-Tbb,CCCCC(CC)COC(=O)C1=CC(=C(C(=C1Br)Br)Br)Br,-0.04,-3.6,21,305.15,Abdominal/Back/Breast Human Skin,Stirred,aqueous solution / phosphate buffer,CCCCC(CC)COC(=O)c1cc(Br)c(Br)c(Br)c1Br
Bis(2-Ethylhexyl)Phthalate,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,-6.98,-10.54,52,303.15,Cadaver,Franz Cell,Dulbecco PBS,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
2-Phenyl Hexanol,CCCCC(CO)C1=CC=CC=C1,-1.01,-4.57,105,305.15,Human Abdominal Skin,Static,PBS,CCCCC(CO)c1ccccc1
